Employee_ID,Name,Age,Salary,City,Department,Experience_Years,Performance_Score,Bonus,Work_Hours
8270.0,Aman,47.0,97840.0,Pune,,20.0,9.0,38971.0,6.0
1860.0,Pooja,39.0,115565.0,Bangalore,,0.0,5.0,46576.0,11.0
6390.0,Pooja,,33568.0,,HR,13.0,,26914.0,
6191.0,Sneha,28.0,106026.0,,Finance,12.0,4.0,25929.0,8.0
6734.0,Akash,33.0,71880.0,Bangalore,Marketing,11.0,8.0,,11.0
7265.0,Rohan,23.0,52489.0,Kolkata,Finance,1.0,8.0,44088.0,9.0
1466.0,Sneha,54.0,73506.0,Delhi,IT,19.0,2.0,16920.0,5.0
5426.0,Priya,30.0,,,Finance,24.0,7.0,13811.0,8.0
6578.0,Rohan,50.0,90975.0,Mumbai,Marketing,0.0,6.0,5697.0,
9322.0,Priya,25.0,142826.0,Chennai,IT,19.0,3.0,37896.0,7.0
2685.0,,28.0,65399.0,Kolkata,Sales,24.0,6.0,,6.0
1769.0,Karan,50.0,49283.0,Delhi,Finance,10.0,8.0,,11.0
7949.0,,50.0,82112.0,Mumbai,HR,17.0,7.0,24631.0,8.0
,Pooja,57.0,94271.0,Chennai,Marketing,20.0,9.0,16920.0,6.0
6311.0,Rahul,44.0,26040.0,Bangalore,Sales,13.0,6.0,33449.0,6.0
6051.0,Pooja,56.0,139153.0,Pune,Finance,8.0,9.0,,5.0
7420.0,Pooja,35.0,33658.0,Bangalore,Marketing,,4.0,39674.0,10.0
,Aman,49.0,,Pune,Sales,1.0,1.0,44514.0,5.0
5555.0,Rohan,58.0,73674.0,Bangalore,HR,24.0,6.0,46446.0,
4385.0,,41.0,50032.0,Kolkata,Finance,7.0,4.0,13444.0,4.0
,Karan,39.0,50846.0,Delhi,IT,15.0,3.0,24397.0,9.0
9666.0,Priya,20.0,71792.0,Delhi,HR,11.0,3.0,15483.0,6.0
3558.0,Rahul,20.0,71313.0,Chennai,IT,22.0,1.0,12837.0,9.0
8849.0,Karan,31.0,84237.0,Bangalore,Marketing,16.0,3.0,49641.0,10.0
3047.0,Sneha,49.0,,Kolkata,HR,,9.0,,10.0
3747.0,,26.0,84423.0,Mumbai,IT,14.0,6.0,14678.0,5.0
1189.0,Priya,33.0,47587.0,Bangalore,HR,7.0,3.0,30585.0,8.0
3734.0,Akash,42.0,67953.0,Kolkata,Finance,0.0,7.0,8558.0,9.0
,Karan,22.0,63594.0,Bangalore,Sales,7.0,5.0,15219.0,10.0
5658.0,Priya,30.0,26184.0,Pune,Marketing,11.0,6.0,40340.0,4.0
2899.0,Aman,,34247.0,Kolkata,Marketing,24.0,7.0,45924.0,6.0
8734.0,Akash,38.0,143339.0,Delhi,,19.0,,13422.0,7.0
2267.0,Pooja,57.0,114698.0,Mumbai,Finance,3.0,4.0,16370.0,8.0
2528.0,Pooja,26.0,51908.0,Chennai,Marketing,7.0,2.0,24521.0,9.0
4556.0,Akash,38.0,117865.0,Delhi,Sales,14.0,7.0,40358.0,4.0
4890.0,Pooja,26.0,91694.0,Delhi,Sales,4.0,8.0,36955.0,9.0
9838.0,Priya,27.0,148185.0,,IT,4.0,3.0,,7.0
,Priya,58.0,134873.0,Mumbai,Finance,9.0,7.0,,
9792.0,Rahul,29.0,142250.0,Pune,Sales,12.0,5.0,,4.0
9433.0,Priya,28.0,135425.0,Bangalore,,20.0,4.0,22841.0,4.0
8513.0,Akash,37.0,51209.0,,Sales,3.0,8.0,6205.0,4.0
3612.0,Karan,56.0,59266.0,Kolkata,Marketing,14.0,,,
,Sneha,50.0,123559.0,Kolkata,IT,,5.0,49985.0,6.0
7235.0,Priya,24.0,44606.0,Delhi,Sales,,6.0,30040.0,9.0
6486.0,Sneha,18.0,51595.0,Delhi,Finance,6.0,1.0,19235.0,11.0
8099.0,Sneha,31.0,57628.0,Mumbai,HR,11.0,8.0,22976.0,
,Rahul,38.0,,Mumbai,HR,21.0,5.0,9345.0,8.0
9226.0,Rohan,25.0,27516.0,Chennai,Finance,,1.0,,
4152.0,Sneha,34.0,135278.0,Pune,HR,22.0,4.0,,7.0
2585.0,Aman,32.0,44567.0,Kolkata,Finance,18.0,6.0,42944.0,8.0
4943.0,Sneha,19.0,82399.0,Mumbai,Finance,1.0,4.0,15027.0,6.0
,Karan,30.0,,,Sales,8.0,2.0,7946.0,11.0
4073.0,Akash,46.0,146854.0,,HR,17.0,1.0,6351.0,
2021.0,Pooja,45.0,70141.0,Bangalore,Marketing,9.0,7.0,33625.0,10.0
4843.0,Karan,25.0,40735.0,Delhi,IT,7.0,3.0,27619.0,
8989.0,Rahul,52.0,57592.0,,Marketing,21.0,1.0,49653.0,10.0
7873.0,Aman,41.0,138774.0,Pune,Sales,5.0,5.0,33347.0,9.0
6675.0,Pooja,24.0,141806.0,Pune,HR,14.0,3.0,23823.0,10.0
1161.0,Karan,45.0,128236.0,,Finance,0.0,2.0,33533.0,11.0
5297.0,Priya,39.0,69481.0,Chennai,Marketing,13.0,8.0,16013.0,8.0
1995.0,,43.0,42034.0,Bangalore,Marketing,16.0,2.0,44878.0,10.0
8629.0,Priya,34.0,89808.0,,IT,23.0,8.0,21367.0,
2016.0,Rohan,55.0,75054.0,Pune,HR,6.0,1.0,48072.0,5.0
8869.0,Priya,,113186.0,Mumbai,Sales,21.0,9.0,34178.0,6.0
7439.0,Pooja,28.0,32945.0,Pune,HR,10.0,6.0,45030.0,
,Aman,,138933.0,,HR,12.0,6.0,,5.0
7863.0,Pooja,19.0,84100.0,Pune,Marketing,24.0,3.0,32811.0,
8916.0,Rahul,49.0,24575.0,Bangalore,Finance,4.0,3.0,25008.0,7.0
9529.0,Karan,43.0,71422.0,Bangalore,HR,13.0,6.0,42297.0,6.0
1878.0,Rohan,48.0,27753.0,Chennai,Sales,1.0,7.0,37622.0,7.0
5887.0,Aman,49.0,,Delhi,,10.0,8.0,48837.0,8.0
5859.0,Rahul,52.0,80904.0,Delhi,IT,8.0,1.0,,9.0
7331.0,Karan,19.0,109900.0,Bangalore,Sales,11.0,5.0,22700.0,8.0
9571.0,Aman,20.0,84631.0,Chennai,Sales,5.0,4.0,23358.0,11.0
9684.0,Priya,50.0,135092.0,,HR,18.0,4.0,46991.0,10.0
8208.0,Aman,24.0,99777.0,Pune,IT,8.0,2.0,7156.0,11.0
6276.0,Rohan,38.0,130684.0,Bangalore,IT,20.0,2.0,,5.0
3062.0,,42.0,115817.0,Kolkata,IT,5.0,3.0,25507.0,6.0
1064.0,Akash,33.0,25275.0,Delhi,Finance,15.0,1.0,34576.0,
,Priya,40.0,92629.0,Chennai,Finance,14.0,8.0,24451.0,10.0
3568.0,Aman,34.0,57769.0,Chennai,Finance,14.0,5.0,20121.0,11.0
6463.0,,50.0,,Chennai,Marketing,4.0,1.0,12073.0,6.0
3027.0,Priya,35.0,,Pune,Sales,18.0,3.0,46734.0,6.0
3695.0,Sneha,56.0,69183.0,Kolkata,Marketing,13.0,6.0,,10.0
,Rahul,40.0,135188.0,Chennai,IT,17.0,5.0,29803.0,8.0
6618.0,Rohan,26.0,145491.0,Mumbai,Sales,,3.0,30744.0,4.0
7736.0,Sneha,20.0,54039.0,Delhi,Sales,23.0,4.0,,
1391.0,Sneha,52.0,100157.0,Pune,Sales,18.0,7.0,44991.0,8.0
6892.0,Sneha,99.0,584350.0,Bangalore,Finance,17.0,4.0,381076.0,11.0
4561.0,Akash,23.0,139367.0,,Finance,5.0,7.0,5528.0,5.0
7184.0,Karan,36.0,148356.0,Bangalore,Finance,13.0,3.0,24741.0,5.0
4099.0,Aman,31.0,122645.0,Chennai,Sales,15.0,7.0,46035.0,5.0
7278.0,Priya,20.0,146866.0,Chennai,,12.0,5.0,22408.0,9.0
,Karan,23.0,109621.0,Kolkata,Sales,7.0,4.0,47954.0,8.0
4104.0,Aman,34.0,20114.0,Delhi,HR,8.0,5.0,30152.0,11.0
8215.0,Aman,53.0,22647.0,Mumbai,IT,22.0,3.0,19345.0,7.0
3454.0,Priya,,32571.0,Bangalore,Marketing,3.0,6.0,10244.0,
9996.0,Karan,21.0,,Pune,HR,3.0,4.0,28716.0,5.0
3731.0,Sneha,27.0,,Pune,Marketing,4.0,5.0,,10.0
,Sneha,49.0,121572.0,Pune,IT,3.0,6.0,29126.0,
6056.0,Pooja,21.0,53352.0,Delhi,IT,13.0,1.0,15906.0,9.0
9110.0,Akash,30.0,146535.0,Chennai,Marketing,21.0,1.0,,11.0
4840.0,Akash,36.0,,Mumbai,Finance,0.0,4.0,10892.0,8.0
,Rohan,55.0,115159.0,,HR,3.0,1.0,,7.0
8385.0,,43.0,96650.0,Bangalore,,1.0,9.0,28735.0,5.0
